Sample	Strain	Treatment	Replicate	Time	CP020102	CP020103
0B3_200	B	0	3	200	199.9052	51.62386
1B5_900	B	1	5	900	107.7516	93.4285
0B2_200	B	0	2	200	116.9042	42.73712
1B4_900	B	1	4	900	106.3373	146.1299
1B4_500	B	1	4	500	116.92	103.7425
1B5_500	B	1	5	500	18.27849	21.45297
0S3_100	S	0	3	100	136.32	222.4801
0S2_100	S	0	2	100	161.2893	254.4491
0S4_500	S	0	4	500	82.58328	26.21149
0S5_500	S	0	5	500	53.65484	60.22038
2S1_400	S	2	1	400	53.62627	50.25999
1B3_100	B	1	3	100	643.8327	523.9094
1B2_100	B	1	2	100	254.0661	283.1916
2B1_700	B	2	1	700	166.7697	130.3988
0B4_600	B	0	4	600	67.03146	53.01671
0B5_600	B	0	5	600	89.55224	78.84516
1S3_200	S	1	3	200	154.2802	125.1917
1S2_200	S	1	2	200	228.3296	54.82396
0S3_300	S	0	3	300	93.275	52.42185
0S2_300	S	0	2	300	95.30756	97.0252
1B4_700	B	1	4	700	184.6746	160.2189
1B5_700	B	1	5	700	110.4532	130.2061
0B4_1000	B	0	4	1000	182.3858	223.8101
1S4_400	S	1	4	400	79.40833	95.28506
1S5_400	S	1	5	400	67.23992	79.4194
0B4_400	B	0	4	400	153.9106	185.2529
0B5_400	B	0	5	400	100.8605	133.4113
2B1_500	B	2	1	500	106.5417	28.02293
2B1_900	B	2	1	900	89.2232	97.02143
0B5_800	B	0	5	800	143.7242	155.8704
1B3_300	B	1	3	300	417.8999	399.6476
0B4_800	B	0	4	800	1.327153	1.172114
1B2_300	B	1	2	300	428.8822	270.1811
2S1_600	S	2	1	600	89.09021	81.07384
0S4_700	S	0	4	700	113.7677	1.381818
0S5_700	S	0	5	700	91.81003	87.44367
2S2_500	S	2	2	500	244.9609	2.146943
2S3_500	S	2	3	500	46.6637	21.52085
1S1_300	S	1	1	300	140.0161	62.83926
2B2_600	B	2	2	600	70.56435	47.52326
2B3_600	B	2	3	600	84.18785	70.57649
2B5_200	B	2	5	200	126.589	128.543
2B4_200	B	2	4	200	7.014945	5.203863
0B1_300	B	0	1	300	315.0664	357.6904
2S5_100	S	2	5	100	193.9423	213.7645
2S4_100	S	2	4	100	91.15785	44.1699
