Sample	Strain	Treatment	Replicate	Time	bPTR
Sample_1B3_300	B	1	3	300	1.1127506812360768
Sample_2B4_100	B	2	4	100	0.8567519559817143
Sample_2B3_100	B	2	3	100	0.7782951593409021
Sample_1B1_1000	B	1	1	1000	0.8676187984789008
Sample_0B1_500	B	0	1	500	1.1721748268657266
Sample_2S5_400	S	2	5	400	0.5001349232110949
Sample_2S2_400	S	2	2	400	1.2009159200918793
Sample_1S5_600	S	1	5	600	1.9516798539361897
Sample_0B3_600	B	0	3	600	0.689684370049609
Sample_2B5_900	B	2	5	900	0.9534798914441235
Sample_1B5_1000	B	1	5	1000	1.0581475522868313
Sample_2B1_200	B	2	1	200	0.7888577291199161
Sample_1S2_600	S	1	2	600	0.3230327847529382
Sample_0B4_600	B	0	4	600	0.728637794301579
Sample_2B2_900	B	2	2	900	1.0601040398016914
